data.consumption,data.time,data.period,device
206,2024-07-26T16:48:34.000Z,5,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
8672,2024-07-29T08:42:17.000Z,109,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
2587,2024-07-29T08:43:11.000Z,25,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
31187,2024-07-29T08:44:14.000Z,227,816932d0-4a9c-11ef-b3c5-85b5ce342d21
31190,2024-07-29T08:44:18.000Z,227,81689b30-4a9c-11ef-ad50-1d2daba32da0
5554,2024-07-29T09:11:26.000Z,40,81653450-4a9c-11ef-a236-3bbfdd38639d
4271,2024-07-29T09:11:28.000Z,40,816932d0-4a9c-11ef-b3c5-85b5ce342d21
4272,2024-07-29T09:11:33.000Z,40,81689b30-4a9c-11ef-ad50-1d2daba32da0
84,2024-07-29T09:54:29.000Z,7,8164cb10-4a9c-11ef-b24b-055224f3eeba
6150,2024-07-29T11:13:26.000Z,44,8165a900-4a9c-11ef-8393-69e55944ae1e
30874,2024-07-29T11:16:27.000Z,173,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
5549,2024-07-29T11:22:16.000Z,40,8164cb10-4a9c-11ef-b24b-055224f3eeba
940,2024-07-29T12:31:45.000Z,53,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
2766,2024-07-29T13:26:56.000Z,22,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
15466,2024-07-29T13:42:43.000Z,127,8164cb10-4a9c-11ef-b24b-055224f3eeba
7119,2024-07-29T13:44:24.000Z,150,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
3475,2024-07-29T13:22:49.000Z,17,8164cb10-4a9c-11ef-b24b-055224f3eeba
392,2024-07-29T16:54:58.000Z,5,816932d0-4a9c-11ef-b3c5-85b5ce342d21
169,2024-07-29T16:55:03.000Z,6,8170c860-4a9c-11ef-a57d-1978fe7d9161
392,2024-07-29T16:55:07.000Z,5,81689b30-4a9c-11ef-ad50-1d2daba32da0
412,2024-07-29T16:55:12.000Z,6,8165a900-4a9c-11ef-8393-69e55944ae1e
212,2024-07-29T19:08:53.000Z,5,8161ea40-4a9c-11ef-82d3-2ffa8384e699
7118,2024-07-29T19:10:12.000Z,40,8164cb10-4a9c-11ef-b24b-055224f3eeba
586,2024-07-29T19:10:27.000Z,67,816932d0-4a9c-11ef-b3c5-85b5ce342d21
586,2024-07-29T19:10:33.000Z,67,81689b30-4a9c-11ef-ad50-1d2daba32da0
6372,2024-07-29T19:11:33.000Z,30,8164cb10-4a9c-11ef-b24b-055224f3eeba
4974,2024-07-29T19:13:10.000Z,25,8164cb10-4a9c-11ef-b24b-055224f3eeba
895,2024-07-30T07:26:21.000Z,8,81653450-4a9c-11ef-a236-3bbfdd38639d
17348,2024-07-30T08:27:35.000Z,89,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
12146,2024-07-30T08:30:52.000Z,62,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
35071,2024-07-30T08:36:43.000Z,163,816932d0-4a9c-11ef-b3c5-85b5ce342d21
35065,2024-07-30T08:36:49.000Z,163,81689b30-4a9c-11ef-ad50-1d2daba32da0
533,2024-07-30T08:50:48.000Z,3,816932d0-4a9c-11ef-b3c5-85b5ce342d21
345,2024-07-30T08:50:51.000Z,3,81689b30-4a9c-11ef-ad50-1d2daba32da0
1048,2024-07-30T08:53:02.000Z,8,816932d0-4a9c-11ef-b3c5-85b5ce342d21
510,2024-07-30T08:54:18.000Z,4,8165a900-4a9c-11ef-8393-69e55944ae1e
272,2024-07-30T08:54:33.000Z,4,8170c860-4a9c-11ef-a57d-1978fe7d9161
392,2024-07-30T09:26:35.000Z,4,8165a900-4a9c-11ef-8393-69e55944ae1e
633,2024-07-30T09:28:49.000Z,4,8165a900-4a9c-11ef-8393-69e55944ae1e
456,2024-07-30T09:30:22.000Z,3,8165a900-4a9c-11ef-8393-69e55944ae1e
504,2024-07-30T09:30:31.000Z,4,816932d0-4a9c-11ef-b3c5-85b5ce342d21
504,2024-07-30T09:30:36.000Z,4,81689b30-4a9c-11ef-ad50-1d2daba32da0
1696,2024-07-30T09:32:05.000Z,14,816932d0-4a9c-11ef-b3c5-85b5ce342d21
1696,2024-07-30T09:32:08.000Z,14,81689b30-4a9c-11ef-ad50-1d2daba32da0
536,2024-07-30T09:42:14.000Z,3,8170c860-4a9c-11ef-a57d-1978fe7d9161
739,2024-07-30T09:42:28.000Z,5,816932d0-4a9c-11ef-b3c5-85b5ce342d21
493,2024-07-30T09:42:36.000Z,4,81689b30-4a9c-11ef-ad50-1d2daba32da0
284,2024-07-30T09:42:46.000Z,4,8165a900-4a9c-11ef-8393-69e55944ae1e
922,2024-07-30T09:53:36.000Z,6,816932d0-4a9c-11ef-b3c5-85b5ce342d21
925,2024-07-30T10:03:12.000Z,7,81653450-4a9c-11ef-a236-3bbfdd38639d
863,2024-07-30T10:05:18.000Z,7,81653450-4a9c-11ef-a236-3bbfdd38639d
456,2024-07-30T09:52:05.000Z,4,81653450-4a9c-11ef-a236-3bbfdd38639d
456,2024-07-30T10:06:28.000Z,4,81653450-4a9c-11ef-a236-3bbfdd38639d
737,2024-07-30T10:06:30.000Z,6,8170c860-4a9c-11ef-a57d-1978fe7d9161
737,2024-07-30T09:52:07.000Z,6,8170c860-4a9c-11ef-a57d-1978fe7d9161
413,2024-07-30T10:07:20.000Z,4,8164cb10-4a9c-11ef-b24b-055224f3eeba
212,2024-07-30T10:07:22.000Z,5,816932d0-4a9c-11ef-b3c5-85b5ce342d21
616,2024-07-30T09:54:34.000Z,7,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
616,2024-07-30T10:08:57.000Z,7,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
531,2024-07-30T10:09:01.000Z,8,81689b30-4a9c-11ef-ad50-1d2daba32da0
410,2024-07-30T10:10:47.000Z,7,8161ea40-4a9c-11ef-82d3-2ffa8384e699
990,2024-07-30T10:12:07.000Z,14,8165a900-4a9c-11ef-8393-69e55944ae1e
990,2024-07-30T09:57:44.000Z,14,8165a900-4a9c-11ef-8393-69e55944ae1e
446,2024-07-30T11:08:57.000Z,4,8170c860-4a9c-11ef-a57d-1978fe7d9161
268,2024-07-30T11:09:00.000Z,3,81653450-4a9c-11ef-a236-3bbfdd38639d
377,2024-07-30T11:09:10.000Z,5,816932d0-4a9c-11ef-b3c5-85b5ce342d21
1287,2024-07-30T11:09:19.000Z,6,8164cb10-4a9c-11ef-b24b-055224f3eeba
295,2024-07-30T11:09:29.000Z,5,81689b30-4a9c-11ef-ad50-1d2daba32da0
421,2024-07-30T11:09:33.000Z,4,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
134,2024-07-30T11:09:50.000Z,4,8165a900-4a9c-11ef-8393-69e55944ae1e
109,2024-07-30T11:09:53.000Z,3,8161ea40-4a9c-11ef-82d3-2ffa8384e699
177,2024-07-30T11:11:09.000Z,5,8161ea40-4a9c-11ef-82d3-2ffa8384e699
6054,2024-07-30T11:16:36.000Z,80,8164cb10-4a9c-11ef-b24b-055224f3eeba
343,2024-07-30T11:35:53.000Z,10,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
20375,2024-07-30T11:38:11.000Z,104,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
4548,2024-07-30T11:47:04.000Z,19,81653450-4a9c-11ef-a236-3bbfdd38639d
1937,2024-07-30T11:50:06.000Z,29,8161ea40-4a9c-11ef-82d3-2ffa8384e699
386,2024-07-30T11:50:07.000Z,26,8165a900-4a9c-11ef-8393-69e55944ae1e
2718,2024-07-30T11:50:31.000Z,23,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
5960,2024-07-30T11:51:38.000Z,24,81653450-4a9c-11ef-a236-3bbfdd38639d
9689,2024-07-30T11:56:08.000Z,40,81653450-4a9c-11ef-a236-3bbfdd38639d
1475,2024-07-30T12:28:03.000Z,75,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
3213,2024-07-30T12:48:03.000Z,14,81653450-4a9c-11ef-a236-3bbfdd38639d
80,2024-07-30T13:11:59.000Z,12,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
2456,2024-07-30T13:22:03.000Z,15,81653450-4a9c-11ef-a236-3bbfdd38639d
151,2024-07-30T13:23:30.000Z,2,81653450-4a9c-11ef-a236-3bbfdd38639d
81,2024-07-30T13:55:03.000Z,21,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
146,2024-07-30T14:43:14.000Z,12,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
104,2024-07-30T14:50:31.000Z,5,8164cb10-4a9c-11ef-b24b-055224f3eeba
104,2024-07-30T14:50:35.000Z,5,81653450-4a9c-11ef-a236-3bbfdd38639d
89,2024-07-30T14:50:38.000Z,2,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
106,2024-07-30T14:50:43.000Z,5,8161ea40-4a9c-11ef-82d3-2ffa8384e699
86,2024-07-30T14:51:10.000Z,1,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
11168,2024-07-30T16:33:14.000Z,91,816932d0-4a9c-11ef-b3c5-85b5ce342d21
4980,2024-07-30T16:33:16.000Z,53,8164cb10-4a9c-11ef-b24b-055224f3eeba
327,2024-07-30T16:37:20.000Z,5,816932d0-4a9c-11ef-b3c5-85b5ce342d21
327,2024-07-30T16:47:25.000Z,16,8170c860-4a9c-11ef-a57d-1978fe7d9161
7145,2024-07-30T18:04:17.000Z,116,816932d0-4a9c-11ef-b3c5-85b5ce342d21
14990,2024-07-30T18:04:19.000Z,116,8164cb10-4a9c-11ef-b24b-055224f3eeba
2196,2024-07-30T18:04:57.000Z,21,81689b30-4a9c-11ef-ad50-1d2daba32da0
22754,2024-07-30T18:07:17.000Z,123,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
2578,2024-07-30T18:23:57.000Z,13,81653450-4a9c-11ef-a236-3bbfdd38639d
109,2024-07-30T18:42:43.000Z,4,8165a900-4a9c-11ef-8393-69e55944ae1e
12610,2024-07-30T18:45:40.000Z,89,81689b30-4a9c-11ef-ad50-1d2daba32da0
3853,2024-07-30T18:47:10.000Z,25,81689b30-4a9c-11ef-ad50-1d2daba32da0
1639,2024-07-30T19:06:10.000Z,30,8165a900-4a9c-11ef-8393-69e55944ae1e
2734,2024-07-30T19:06:32.000Z,53,8161ea40-4a9c-11ef-82d3-2ffa8384e699
3331,2024-07-30T19:07:34.000Z,27,8164cb10-4a9c-11ef-b24b-055224f3eeba
4398,2024-07-30T19:09:53.000Z,37,8164cb10-4a9c-11ef-b24b-055224f3eeba
2736,2024-07-30T19:09:55.000Z,37,816932d0-4a9c-11ef-b3c5-85b5ce342d21
3260,2024-07-30T20:33:23.000Z,81,81689b30-4a9c-11ef-ad50-1d2daba32da0
939,2024-07-30T20:33:35.000Z,21,8165a900-4a9c-11ef-8393-69e55944ae1e
180,2024-07-30T20:33:51.000Z,3,8165a900-4a9c-11ef-8393-69e55944ae1e
5371,2024-07-30T20:35:16.000Z,74,8161ea40-4a9c-11ef-82d3-2ffa8384e699
103,2024-07-30T20:36:25.000Z,30,81689b30-4a9c-11ef-ad50-1d2daba32da0
32721,2024-07-30T20:36:49.000Z,245,816932d0-4a9c-11ef-b3c5-85b5ce342d21
20584,2024-07-30T20:38:25.000Z,280,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
4193,2024-07-30T20:38:35.000Z,110,8165a900-4a9c-11ef-8393-69e55944ae1e
29296,2024-07-30T20:39:33.000Z,138,8164cb10-4a9c-11ef-b24b-055224f3eeba
218,2024-07-30T20:42:18.000Z,20,8161ea40-4a9c-11ef-82d3-2ffa8384e699
10337,2024-07-30T20:44:40.000Z,138,8165a900-4a9c-11ef-8393-69e55944ae1e
124,2024-07-30T20:50:27.000Z,31,8170c860-4a9c-11ef-a57d-1978fe7d9161
178,2024-07-30T20:57:45.000Z,8,816932d0-4a9c-11ef-b3c5-85b5ce342d21
186,2024-07-30T20:57:49.000Z,4,8170c860-4a9c-11ef-a57d-1978fe7d9161
196,2024-07-30T20:57:55.000Z,8,81689b30-4a9c-11ef-ad50-1d2daba32da0
183,2024-07-30T20:58:00.000Z,4,8165a900-4a9c-11ef-8393-69e55944ae1e
362,2024-07-30T20:58:11.000Z,1,8170c860-4a9c-11ef-a57d-1978fe7d9161
353,2024-07-30T20:58:14.000Z,1,816932d0-4a9c-11ef-b3c5-85b5ce342d21
380,2024-07-30T20:58:20.000Z,1,81689b30-4a9c-11ef-ad50-1d2daba32da0
13965,2024-07-31T08:19:25.000Z,87,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
10956,2024-07-31T08:22:18.000Z,56,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
3989,2024-07-31T08:50:54.000Z,93,81653450-4a9c-11ef-a236-3bbfdd38639d
38189,2024-07-31T08:51:17.000Z,166,8170c860-4a9c-11ef-a57d-1978fe7d9161
10090,2024-07-31T08:52:05.000Z,42,81653450-4a9c-11ef-a236-3bbfdd38639d
228,2024-07-31T09:17:40.000Z,32,81689b30-4a9c-11ef-ad50-1d2daba32da0
9740,2024-07-31T09:17:42.000Z,130,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
2772,2024-07-31T09:27:21.000Z,52,81689b30-4a9c-11ef-ad50-1d2daba32da0
3566,2024-07-31T09:27:23.000Z,53,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
2127,2024-07-31T09:28:59.000Z,33,81689b30-4a9c-11ef-ad50-1d2daba32da0
4268,2024-07-31T09:34:11.000Z,173,8161ea40-4a9c-11ef-82d3-2ffa8384e699
13330,2024-07-31T09:34:13.000Z,208,8165a900-4a9c-11ef-8393-69e55944ae1e
6553,2024-07-31T10:38:03.000Z,27,81653450-4a9c-11ef-a236-3bbfdd38639d
265,2024-07-31T11:17:26.000Z,4,81653450-4a9c-11ef-a236-3bbfdd38639d
1153,2024-07-31T11:39:59.000Z,25,8161ea40-4a9c-11ef-82d3-2ffa8384e699
1104,2024-07-31T11:40:02.000Z,27,8165a900-4a9c-11ef-8393-69e55944ae1e
437,2024-07-31T11:40:26.000Z,13,81689b30-4a9c-11ef-ad50-1d2daba32da0
2715,2024-07-31T11:40:51.000Z,15,8164cb10-4a9c-11ef-b24b-055224f3eeba
2757,2024-07-31T11:41:18.000Z,12,81653450-4a9c-11ef-a236-3bbfdd38639d
8831,2024-07-31T11:45:29.000Z,36,81653450-4a9c-11ef-a236-3bbfdd38639d
380,2024-07-31T13:20:49.000Z,55,8161ea40-4a9c-11ef-82d3-2ffa8384e699
3348,2024-07-31T14:37:49.000Z,42,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
4015,2024-07-31T14:38:38.000Z,81,81689b30-4a9c-11ef-ad50-1d2daba32da0
509,2024-07-31T18:04:25.000Z,21,8164cb10-4a9c-11ef-b24b-055224f3eeba
14372,2024-07-31T18:05:58.000Z,103,816932d0-4a9c-11ef-b3c5-85b5ce342d21
14027,2024-07-31T18:58:17.000Z,98,81689b30-4a9c-11ef-ad50-1d2daba32da0
3342,2024-07-31T19:00:15.000Z,37,81689b30-4a9c-11ef-ad50-1d2daba32da0
8696,2024-07-31T19:50:41.000Z,246,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
15072,2024-07-31T20:16:16.000Z,120,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
6371,2024-07-31T20:16:18.000Z,126,81689b30-4a9c-11ef-ad50-1d2daba32da0
1224,2024-07-31T20:43:47.000Z,44,8164cb10-4a9c-11ef-b24b-055224f3eeba
24386,2024-07-31T20:45:46.000Z,151,816932d0-4a9c-11ef-b3c5-85b5ce342d21
7419,2024-07-31T20:51:48.000Z,126,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
109,2024-08-01T07:34:08.000Z,9,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
84,2024-08-01T07:51:33.000Z,6,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
83,2024-08-01T07:53:25.000Z,2,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
777,2024-08-01T08:35:41.000Z,33,81689b30-4a9c-11ef-ad50-1d2daba32da0
15453,2024-08-01T08:36:10.000Z,87,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
13951,2024-08-01T08:43:04.000Z,70,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
2977,2024-08-01T08:55:18.000Z,13,81653450-4a9c-11ef-a236-3bbfdd38639d
142,2024-08-01T09:21:35.000Z,51,8161ea40-4a9c-11ef-82d3-2ffa8384e699
557,2024-08-01T09:23:28.000Z,76,8161ea40-4a9c-11ef-82d3-2ffa8384e699
18513,2024-08-01T09:23:30.000Z,227,8165a900-4a9c-11ef-8393-69e55944ae1e
2727,2024-08-01T11:45:43.000Z,13,81653450-4a9c-11ef-a236-3bbfdd38639d
487,2024-08-01T11:50:12.000Z,46,8161ea40-4a9c-11ef-82d3-2ffa8384e699
4365,2024-08-01T11:50:53.000Z,23,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
2584,2024-08-01T11:51:31.000Z,25,8164cb10-4a9c-11ef-b24b-055224f3eeba
2453,2024-08-01T11:51:33.000Z,25,816932d0-4a9c-11ef-b3c5-85b5ce342d21
5280,2024-08-01T11:52:11.000Z,23,81653450-4a9c-11ef-a236-3bbfdd38639d
10162,2024-08-01T11:54:46.000Z,41,81653450-4a9c-11ef-a236-3bbfdd38639d
1369,2024-08-01T12:17:37.000Z,13,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
359,2024-08-01T16:25:26.000Z,10,8164cb10-4a9c-11ef-b24b-055224f3eeba
403,2024-08-01T16:25:32.000Z,12,816932d0-4a9c-11ef-b3c5-85b5ce342d21
3899,2024-08-01T16:28:29.000Z,27,816932d0-4a9c-11ef-b3c5-85b5ce342d21
4540,2024-08-01T16:28:32.000Z,31,81689b30-4a9c-11ef-ad50-1d2daba32da0
16856,2024-08-01T16:29:36.000Z,60,8164cb10-4a9c-11ef-b24b-055224f3eeba
1015,2024-08-01T18:01:54.000Z,50,81653450-4a9c-11ef-a236-3bbfdd38639d
1489,2024-08-01T18:02:57.000Z,32,81653450-4a9c-11ef-a236-3bbfdd38639d
160,2024-08-01T18:04:31.000Z,17,8164cb10-4a9c-11ef-b24b-055224f3eeba
7604,2024-08-01T18:31:57.000Z,27,81653450-4a9c-11ef-a236-3bbfdd38639d
80,2024-08-01T19:05:48.000Z,3,8164cb10-4a9c-11ef-b24b-055224f3eeba
2095,2024-08-01T19:14:19.000Z,22,8164cb10-4a9c-11ef-b24b-055224f3eeba
5586,2024-08-01T19:15:51.000Z,34,8164cb10-4a9c-11ef-b24b-055224f3eeba
395,2024-08-01T19:16:06.000Z,3,8164cb10-4a9c-11ef-b24b-055224f3eeba
866,2024-08-01T19:29:51.000Z,11,81653450-4a9c-11ef-a236-3bbfdd38639d
1433,2024-08-01T19:30:24.000Z,9,8164cb10-4a9c-11ef-b24b-055224f3eeba
20716,2024-08-01T19:32:50.000Z,125,816932d0-4a9c-11ef-b3c5-85b5ce342d21
1454,2024-08-01T19:35:44.000Z,12,816932d0-4a9c-11ef-b3c5-85b5ce342d21
14610,2024-08-01T20:01:21.000Z,101,816932d0-4a9c-11ef-b3c5-85b5ce342d21
3339,2024-08-01T20:42:33.000Z,1077,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
275,2024-08-01T20:47:43.000Z,104,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
353,2024-08-01T20:13:14.000Z,133,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
1119,2024-08-01T20:22:21.000Z,20,8161ea40-4a9c-11ef-82d3-2ffa8384e699
6493,2024-08-01T20:22:25.000Z,50,81689b30-4a9c-11ef-ad50-1d2daba32da0
16145,2024-08-01T20:23:44.000Z,110,816932d0-4a9c-11ef-b3c5-85b5ce342d21
14772,2024-08-01T20:24:01.000Z,360,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
1946,2024-08-01T20:24:45.000Z,58,8165a900-4a9c-11ef-8393-69e55944ae1e
5807,2024-08-01T20:25:23.000Z,50,816932d0-4a9c-11ef-b3c5-85b5ce342d21
10746,2024-08-01T20:25:57.000Z,163,8161ea40-4a9c-11ef-82d3-2ffa8384e699
6203,2024-08-01T20:27:17.000Z,118,81689b30-4a9c-11ef-ad50-1d2daba32da0
38071,2024-08-01T20:29:24.000Z,208,8164cb10-4a9c-11ef-b24b-055224f3eeba
14525,2024-08-01T20:29:29.000Z,199,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
103,2024-08-01T20:51:03.000Z,7,8170c860-4a9c-11ef-a57d-1978fe7d9161
106,2024-08-02T08:26:40.000Z,7,8161ea40-4a9c-11ef-82d3-2ffa8384e699
44433,2024-08-02T08:55:24.000Z,195,8170c860-4a9c-11ef-a57d-1978fe7d9161
22113,2024-08-02T08:55:43.000Z,163,81653450-4a9c-11ef-a236-3bbfdd38639d
10993,2024-08-02T09:42:53.000Z,312,8161ea40-4a9c-11ef-82d3-2ffa8384e699
1162,2024-08-02T09:44:21.000Z,11,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
265,2024-08-02T09:44:23.000Z,11,81689b30-4a9c-11ef-ad50-1d2daba32da0
18633,2024-08-02T11:08:31.000Z,96,8164cb10-4a9c-11ef-b24b-055224f3eeba
8068,2024-08-02T12:24:56.000Z,30,81653450-4a9c-11ef-a236-3bbfdd38639d
31654,2024-08-02T12:35:28.000Z,101,81653450-4a9c-11ef-a236-3bbfdd38639d
754,2024-08-02T13:09:57.000Z,61,8161ea40-4a9c-11ef-82d3-2ffa8384e699
13378,2024-08-02T15:23:11.000Z,172,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
41901,2024-08-02T16:10:26.000Z,223,816932d0-4a9c-11ef-b3c5-85b5ce342d21
4386,2024-08-02T16:58:36.000Z,17,81653450-4a9c-11ef-a236-3bbfdd38639d
1606,2024-08-02T17:02:36.000Z,13,81689b30-4a9c-11ef-ad50-1d2daba32da0
1719,2024-08-02T17:05:12.000Z,12,81689b30-4a9c-11ef-ad50-1d2daba32da0
3563,2024-08-02T17:06:31.000Z,19,81689b30-4a9c-11ef-ad50-1d2daba32da0
2283,2024-08-02T17:06:45.000Z,13,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
1292,2024-08-02T19:20:29.000Z,18,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
3301,2024-08-02T19:23:33.000Z,62,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
2192,2024-08-02T19:36:44.000Z,10,81653450-4a9c-11ef-a236-3bbfdd38639d
978,2024-08-02T19:37:47.000Z,5,81653450-4a9c-11ef-a236-3bbfdd38639d
2100,2024-08-02T19:38:39.000Z,14,81653450-4a9c-11ef-a236-3bbfdd38639d
130,2024-08-02T19:38:53.000Z,5,8170c860-4a9c-11ef-a57d-1978fe7d9161
184,2024-08-02T19:38:55.000Z,1,81653450-4a9c-11ef-a236-3bbfdd38639d
6681,2024-08-02T20:16:16.000Z,46,816932d0-4a9c-11ef-b3c5-85b5ce342d21
7287,2024-08-02T20:17:44.000Z,38,8164cb10-4a9c-11ef-b24b-055224f3eeba
153,2024-08-02T20:17:45.000Z,38,816932d0-4a9c-11ef-b3c5-85b5ce342d21
718,2024-08-02T20:18:27.000Z,6,8164cb10-4a9c-11ef-b24b-055224f3eeba
15946,2024-08-02T20:22:04.000Z,123,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
2768,2024-08-02T20:22:07.000Z,124,81689b30-4a9c-11ef-ad50-1d2daba32da0
418,2024-08-02T20:34:11.000Z,16,816932d0-4a9c-11ef-b3c5-85b5ce342d21
406,2024-08-02T20:34:20.000Z,2,8164cb10-4a9c-11ef-b24b-055224f3eeba
157,2024-08-02T20:34:26.000Z,2,8161ea40-4a9c-11ef-82d3-2ffa8384e699
14203,2024-08-02T21:01:33.000Z,161,81689b30-4a9c-11ef-ad50-1d2daba32da0
1663,2024-08-03T07:28:53.000Z,19,81653450-4a9c-11ef-a236-3bbfdd38639d
